key,sender,senderID,addressee,addresseeID,senderDate,senderPlace,senderPlaceID,page,notes,edition
76,Robert Volkmann,11876912X,Balthasar Elischer,1073364992,1860-12-02,Wien,https://www.geonames.org/2761369,171,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
77,Robert Volkmann,11876912X,Balthasar Elischer,1073364992,1862-02-09,Festung Ofen,https://www.geonames.org/3054667,173,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
78,Robert Volkmann,11876912X,Wilhelmine Elischer,,1862-02-11,Festung Ofen,https://www.geonames.org/3054667,174,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
79,Robert Volkmann,11876912X,Direktion der Gesellschaft der Musikfreunde in Wien,5541564-7,1862-05-29,Pest,https://www.geonames.org/3046446,176,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
80,Robert Volkmann,11876912X,A. von Parmentier,,1862-09-04,Pest,https://www.geonames.org/3046446,179,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
81,Robert Volkmann,11876912X,Gustav Heckenast,118709445,1863-06-07,Pilis-Maróth,https://www.geonames.org/3046355,180,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
82,Robert Volkmann,11876912X,Franz Doppler,116180064,1864-02-25,Pest,https://www.geonames.org/3046446,182,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
83,Robert Volkmann,11876912X,Franz Brendel,119020742,1864-06-12,Pest,https://www.geonames.org/3046446,183,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
84,Robert Volkmann,11876912X,Wilhelm Rust,116711728,1864-07-20,Pilis-Maróth,https://www.geonames.org/3046355,184,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
85,Robert Volkmann,11876912X,Edmund Singer,117401625,1864-08-27,Pilis-Maróth,https://www.geonames.org/3046355,188,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
86,Robert Volkmann,11876912X,Karl Thern,117302791,1864-09-28,Pilis-Maróth,https://www.geonames.org/3046355,191,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
87,Robert Volkmann,11876912X,Edmund Singer,117401625,1864-10-25,Pest,https://www.geonames.org/3046446,193,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
88,Robert Volkmann,11876912X,Karl Thern,117302791,1864-12-14,Pest,https://www.geonames.org/3046446,195,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
89,Robert Volkmann,11876912X,Ludwig Foglar,116643447,1865-01-11,Pest,https://www.geonames.org/3046446,198,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
90,Robert Volkmann,11876912X,Ludwig Foglar,116643447,1866-01-17,Pest,https://www.geonames.org/3046446,200,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
91,Robert Volkmann,11876912X,Ludwig Foglar,116643447,1866-01-27,Pest,https://www.geonames.org/3046446,205,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
92,Robert Volkmann,11876912X,Karl Thern,117302791,1865-03-11,Pest,https://www.geonames.org/3046446,213,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
93,Robert Volkmann,11876912X,Ludwig Foglar,116643447,1865-04-02,Pest,https://www.geonames.org/3046446,216,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
94,Robert Volkmann,11876912X,Karl Thern,117302791,"{1866-04-25,1866-05-01}",Pest,https://www.geonames.org/3046446,222,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
95,Robert Volkmann,11876912X,Wilhelm Rust,116711728,1865-05-07,Pest,https://www.geonames.org/3046446,234,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
96,Robert Volkmann,11876912X,Karl Thern,117302791,1865-05-20,Gersdorf,https://www.geonames.org/2920934,233,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
97,Robert Volkmann,11876912X,Gustav Heckenast,118709445,"{1865-05-28,1865-05-31}",Berlin,https://www.geonames.org/2950159,235,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
98,Robert Volkmann,11876912X,Gustav Heckenast,118709445,1866-06-22,Plauen,https://www.geonames.org/2853292,238,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
99,Robert Volkmann,11876912X,Balthasar Elischer,1073364992,1865-06-24,Gersdorf,https://www.geonames.org/2920934,240,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
100,Robert Volkmann,11876912X,Friederike Hammer,,1865-06-27,Gersdorf,https://www.geonames.org/2920934,242,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
101,Robert Volkmann,11876912X,Ludwig Dessoir,118671650,1865-07-06,Niederlößnitz,https://www.geonames.org/2863147,244,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
102,Robert Volkmann,11876912X,Karl Thern,117302791,1865-07-21,Pest,https://www.geonames.org/3046446,246,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
103,Robert Volkmann,11876912X,Wilhelm Rust,116711728,1865-08-26,Pest,https://www.geonames.org/3046446,247,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
104,Robert Volkmann,11876912X,Karl Thern,117302791,1865-09-27,Pilis-Maróth,https://www.geonames.org/3046355,251,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
105,Robert Volkmann,11876912X,Wilhelm Rust,116711728,1866-11-04,Pest,https://www.geonames.org/3046446,252,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
106,Robert Volkmann,11876912X,Karl Thern,117302791,1865-12-29,Festung Ofen,https://www.geonames.org/3054667,253,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
107,Robert Volkmann,11876912X,Karl Gille,117737623,1866-02-18,Pest,https://www.geonames.org/3046446,257,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
108,Robert Volkmann,11876912X,Karl Thern,117302791,1866-02-20,Pest,https://www.geonames.org/3046446,258,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
109,Robert Volkmann,11876912X,Karl Thern,117302791,1866-04-02,Festung Ofen,https://www.geonames.org/3054667,261,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
110,Robert Volkmann,11876912X,Karl Thern,117302791,1866-05-15,Festung Ofen,https://www.geonames.org/3054667,265,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
111,Robert Volkmann,11876912X,Julius Epstein,116652357,1866-12-06,Pest,https://www.geonames.org/3046446,267,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
112,Robert Volkmann,11876912X,Karl Thern,117302791,1867-01-10,Festung Ofen,https://www.geonames.org/3054667,271,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
113,Robert Volkmann,11876912X,Julius Bellmann,1326958054,1867-05-22,Pest,https://www.geonames.org/3046446,274,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
114,Robert Volkmann,11876912X,Karl Thern,117302791,1867-06-12/1867-06-13,Pest,https://www.geonames.org/3046446,276,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
115,Robert Volkmann,11876912X,Rudolph Fuchs,,1867-09-26,Pilis-Maróth,https://www.geonames.org/3046355,280,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
116,Robert Volkmann,11876912X,Karl Thern,117302791,1867-11-26,Ofen,https://www.geonames.org/3054667,282,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
117,Robert Volkmann,11876912X,Joseph Hellmesberger,103787038,1867-12-06,Festung Ofen,https://www.geonames.org/3054667,284,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
119,Robert Volkmann,11876912X,Bernhard Scholz,116902930,1868-02-21,Pest,https://www.geonames.org/3046446,288,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
120,Robert Volkmann,11876912X,Louis Ehlert,116379987,1868-03-28,Pest,https://www.geonames.org/3046446,289,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
121,Robert Volkmann,11876912X,Carl Riedel,116534060,1868-04-24,Pest,https://www.geonames.org/3046446,292,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
122,Robert Volkmann,11876912X,Louis Ehlert,116379987,1868-05-25,Ofen,https://www.geonames.org/3054667,294,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
124,Robert Volkmann,11876912X,Oskar Volkmann,,1868-06-23,Ofen,https://www.geonames.org/3054667,299,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
