key,sender,senderID,addressee,addresseeID,senderDate,senderPlace,senderPlaceID,page,notes,edition
179,Robert Volkmann,11876912X,Graf Géza Zichy,116985925,1875-06-13,Budapest,https://www.geonames.org/3054643,412,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
180,Robert Volkmann,11876912X,Oskar Volkmann,,1875-06-18,Budapest,https://www.geonames.org/3054643,414,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
181,Robert Volkmann,11876912X,Alexander W. Thayer,117300403,1875-08-23,Budapest,https://www.geonames.org/3054643,417,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
182,Robert Volkmann,11876912X,Graf Géza Zichy,116985925,1875-09-11,Budapest,https://www.geonames.org/3054643,420,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
183,Robert Volkmann,11876912X,Carl Reinecke,119388472,1875-10-01,Ofen,https://www.geonames.org/3054667,421,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
184,Robert Volkmann,11876912X,Ludwig Csepregi,,1876-02-14,Ofen,https://www.geonames.org/3054667,423,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
185,Robert Volkmann,11876912X,Professor Linzbauer,1019535415,1876-04-22,Ofen,https://www.geonames.org/3054667,424,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
186,Robert Volkmann,11876912X,Graf Géza Zichy,116985925,1876-06-28,Budapest,https://www.geonames.org/3054643,427,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
187,Robert Volkmann,11876912X,Graf Géza Zichy,116985925,1876-07-22,Festung Ofen,https://www.geonames.org/3054667,428,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
188,Robert Volkmann,11876912X,Ernst Pauer,116060514,1876-08-07,Budapest,https://www.geonames.org/3054643,430,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
190,Robert Volkmann,11876912X,Julius von Simonyi,,1877-01-01,Budapest,https://www.geonames.org/3054643,433,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
191,Robert Volkmann,11876912X,Ignaz Pfeffer,,1877-02-27,Festung Ofen,https://www.geonames.org/3054667,434,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
